,TRACK_ID,FILENAME,BOUT_START,BOUT_END,PECKING,PECKING_FRAMES,MOULT,VIDEO_DURATION,BOUT_LENGTH,DATE,GROUP,TIME,GROUP_ID
166,627.0,20240806_10_00056.mp4,651.0,777.0,0,0.0,0.8627450980392157,133.44,127.0,20240806,10,11.583333333333334,jgr
167,631.0,20240806_10_00056.mp4,702.0,703.0,0,0.0,1.0,133.44,2.0,20240806,10,11.583333333333334,jgr
168,632.0,20240806_10_00056.mp4,811.0,813.0,0,0.0,0.3333333333333333,133.44,3.0,20240806,10,11.583333333333334,jgr
169,636.0,20240806_10_00056.mp4,892.0,894.0,0,0.0,0.0,133.44,3.0,20240806,10,11.583333333333334,jgr
170,640.0,20240806_10_00056.mp4,1074.0,1076.0,0,0.0,0.0,133.44,3.0,20240806,10,11.583333333333334,jgr
171,644.0,20240806_10_00056.mp4,1092.0,1101.0,0,0.0,0.9,133.44,10.0,20240806,10,11.583333333333334,jgr
172,645.0,20240806_10_00056.mp4,1096.0,1201.0,0,0.0,0.6521739130434783,133.44,106.0,20240806,10,11.583333333333334,jgr
173,647.0,20240806_10_00056.mp4,1120.0,1126.0,1,6.0,1.0,133.44,7.0,20240806,10,11.583333333333334,jgr
174,648.0,20240806_10_00056.mp4,1144.0,1145.0,0,0.0,0.5,133.44,2.0,20240806,10,11.583333333333334,jgr
175,649.0,20240806_10_00056.mp4,1156.0,1281.0,0,0.0,0.38095238095238093,133.44,126.0,20240806,10,11.583333333333334,jgr
176,650.0,20240806_10_00056.mp4,1186.0,1217.0,0,0.0,0.9166666666666666,133.44,32.0,20240806,10,11.583333333333334,jgr
177,652.0,20240806_10_00056.mp4,1313.0,1492.0,0,0.0,0.7162162162162162,133.44,180.0,20240806,10,11.583333333333334,jgr
178,653.0,20240806_10_00056.mp4,1320.0,1448.0,0,0.0,0.8090909090909091,133.44,129.0,20240806,10,11.583333333333334,jgr
179,655.0,20240806_10_00056.mp4,1447.0,1481.0,0,0.0,0.15,133.44,35.0,20240806,10,11.583333333333334,jgr
180,662.0,20240806_10_00056.mp4,1499.0,1532.0,0,0.0,0.07692307692307693,133.44,34.0,20240806,10,11.583333333333334,jgr
181,664.0,20240806_10_00056.mp4,1502.0,1666.0,0,0.0,0.8347826086956521,133.44,165.0,20240806,10,11.583333333333334,jgr
182,665.0,20240806_10_00056.mp4,1535.0,1560.0,0,0.0,0.9230769230769231,133.44,26.0,20240806,10,11.583333333333334,jgr
183,666.0,20240806_10_00056.mp4,1561.0,1673.0,0,0.0,0.7340425531914894,133.44,113.0,20240806,10,11.583333333333334,jgr
184,669.0,20240806_10_00056.mp4,1607.0,1621.0,0,0.0,0.8333333333333334,133.44,15.0,20240806,10,11.583333333333334,jgr
185,673.0,20240806_10_00056.mp4,1669.0,1722.0,0,0.0,0.9574468085106383,133.44,54.0,20240806,10,11.583333333333334,jgr
186,674.0,20240806_10_00056.mp4,1715.0,1715.0,0,0.0,0.0,133.44,1.0,20240806,10,11.583333333333334,jgr
187,675.0,20240806_10_00056.mp4,1747.0,1752.0,0,0.0,0.0,133.44,6.0,20240806,10,11.583333333333334,jgr
188,676.0,20240806_10_00056.mp4,1772.0,1869.0,1,2.0,0.4888888888888889,133.44,98.0,20240806,10,11.583333333333334,jgr
189,681.0,20240806_10_00056.mp4,1879.0,1910.0,1,1.0,0.8333333333333334,133.44,32.0,20240806,10,11.583333333333334,jgr
190,682.0,20240806_10_00056.mp4,1915.0,1931.0,1,4.0,0.9166666666666666,133.44,17.0,20240806,10,11.583333333333334,jgr
191,687.0,20240806_10_00056.mp4,1971.0,1971.0,0,0.0,1.0,133.44,1.0,20240806,10,11.583333333333334,jgr
192,690.0,20240806_10_00056.mp4,1983.0,1986.0,0,0.0,1.0,133.44,4.0,20240806,10,11.583333333333334,jgr
193,691.0,20240806_10_00056.mp4,1986.0,1986.0,0,0.0,0.0,133.44,1.0,20240806,10,11.583333333333334,jgr
194,696.0,20240806_10_00056.mp4,2105.0,2108.0,0,0.0,1.0,133.44,4.0,20240806,10,11.583333333333334,jgr
195,699.0,20240806_10_00056.mp4,2160.0,2234.0,0,0.0,0.6666666666666666,133.44,75.0,20240806,10,11.583333333333334,jgr
196,700.0,20240806_10_00056.mp4,2210.0,2237.0,0,0.0,0.9523809523809523,133.44,28.0,20240806,10,11.583333333333334,jgr
197,703.0,20240806_10_00056.mp4,2249.0,2340.0,1,6.0,0.3333333333333333,133.44,92.0,20240806,10,11.583333333333334,jgr
198,704.0,20240806_10_00056.mp4,2282.0,2395.0,0,0.0,0.12658227848101267,133.44,114.0,20240806,10,11.583333333333334,jgr
